,Indicator ID,Total,2010,2011,2012,2013,2014,2015,2016
1715,ProceedsFromSaleOfShortTermInvestments,2214,2,87,159,142,128,124,96
1716,FeesAndCommissionsCreditCards,2211,0,88,150,152,146,136,65
1717,GainLossOnSaleOfLoansAndLeases,2211,0,44,144,145,140,156,108
1718,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,2208,0,102,162,166,161,133,12
1719,GainLossOnFairValueHedgeIneffectivenessNet,2208,0,40,75,184,200,138,99
1720,MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount,2208,0,179,176,139,94,93,55
1721,DirectCostsOfHotels,2208,0,78,130,139,137,166,86
1722,ProceedsFromCollectionOfNotesReceivable,2205,0,52,128,145,146,148,116
1723,PaymentsOfCapitalDistribution,2202,1,29,105,127,170,179,123
1724,ConvertiblePreferredStockSharesIssuedUponConversion,2199,0,25,132,189,184,157,46
1725,DebtInstrumentUnusedBorrowingCapacityAmount,2196,0,36,142,166,160,161,67
1726,AllowanceForNotesAndLoansReceivableCurrent,2190,2,78,130,136,143,163,78
1727,RestrictedCashAndInvestments,2190,0,52,123,128,156,189,82
1728,OtherCommitmentDueInNextTwelveMonths,2187,0,0,118,162,188,201,60
1729,WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,2187,0,94,136,166,159,116,58
1730,DefinedBenefitPlanEstimatedFutureEmployerContributionsInCurrentFiscalYear,2187,0,121,376,223,9,0,0
1731,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromTwoToThreeYearsOfBalanceSheetDate,2187,0,9,140,171,167,190,52
1732,FiniteLivedIntangibleAssetAcquiredInPlaceLeases,2175,0,65,151,149,148,149,63
1733,NotesPayableToBankCurrent,2172,0,95,150,160,131,121,67
1734,DueToAffiliateNoncurrent,2163,0,65,100,130,178,166,82
1735,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,2163,0,75,154,152,157,145,38
1736,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,2160,0,21,103,171,144,173,108
1737,CapitalLeasesFutureMinimumPaymentsReceivableInTwoYears,2160,0,41,123,153,156,172,75
1738,InvestmentInFederalHomeLoanBankStockFairValueDisclosure,2148,0,13,116,187,177,158,65
1739,PaidInKindInterest,2145,1,50,129,133,135,142,125
1740,UtilitiesOperatingExpenseTaxes,2145,1,73,130,121,146,159,85
1741,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,2145,1,72,108,131,144,138,121
1742,DeferredTaxLiabilitiesGrossCurrent,2139,0,0,104,183,206,199,21
1743,IncreaseDecreaseInIncomeTaxes,2139,0,28,116,131,136,160,142
1744,AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1,2139,0,380,324,9,0,0,0
1745,NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,2136,0,84,161,157,145,113,52
1746,SecurityOwnedAndPledgedAsCollateralFairValue,2136,0,25,138,156,155,162,76
1747,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromOneToTwoYearsOfBalanceSheetDate,2130,0,8,136,164,171,181,50
1748,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax,2130,0,0,0,51,199,281,179
1749,AssetRetirementObligationLiabilitiesIncurred,2127,0,25,85,147,165,172,115
1750,BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,2127,1,151,420,135,2,0,0
1751,DerivativeFixedInterestRate,2118,0,92,223,192,117,57,25
1752,DepletionOfOilAndGasProperties,2115,0,76,132,141,148,149,59
1753,ShorttermDebtFairValue,2115,0,38,132,160,151,153,71
1754,ProductWarrantyExpense,2109,1,49,113,163,151,143,83
1755,AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,2109,0,13,97,129,136,155,173
1756,SeveranceCosts,2109,0,117,330,248,8,0,0
1757,StraightLineRent,2109,0,0,37,147,168,193,158
1758,AccruedLiabilitiesFairValueDisclosure,2106,0,20,123,196,161,139,63
1759,CurrentForeignTaxExpenseBenefit,2103,0,42,125,168,146,145,75
1760,TradingSecuritiesEquity,2100,0,76,104,103,154,177,86
1761,LiabilityForFuturePolicyBenefitsAndUnpaidClaimsAndClaimsAdjustmentExpense,2100,0,90,133,142,143,133,59
1762,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,2100,0,0,0,0,115,347,238
1763,DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,2100,0,59,127,167,188,122,37
1764,InventoryPartsAndComponentsNetOfReserves,2097,0,26,104,165,167,159,78
1765,ProceedsFromRepaymentsOfDebt,2094,1,60,137,127,132,139,102
1766,PaymentsForProceedsFromFederalHomeLoanBankStock,2094,0,34,137,160,143,113,111
1767,BorrowedFunds,2094,0,80,220,252,138,8,0
1768,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue,2091,0,55,138,171,135,127,71
1769,DeferredCostsLeasingAccumulatedAmortization,2091,0,57,138,140,149,150,63
1770,PurchaseObligationDueInSecondYear,2091,0,0,80,133,186,206,92
1771,FinancialInstrumentsSoldNotYetPurchasedAtFairValue,2088,0,77,117,143,148,142,69
1772,BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,2085,0,226,354,108,6,1,0
1773,DerivativeInstrumentsAndHedgesNoncurrent,2085,0,120,148,134,124,111,58
1774,FederalHomeLoanBankAdvances,2085,0,80,146,132,137,141,59
1775,DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates,2085,0,64,133,148,165,168,17
1776,NotesReceivableRelatedPartiesCurrent,2082,0,69,137,141,148,141,58
1777,BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,2082,1,142,402,140,9,0,0
1778,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,2079,1,51,155,150,138,120,78
1779,AllowanceForLoanAndLeaseLossesProvisionForLossGross,2079,0,68,324,279,20,2,0
1780,OilAndGasJointInterestBillingReceivablesCurrent,2079,0,71,126,137,142,148,69
1781,RentalProperties,2076,0,64,102,126,145,172,83
1782,PublicUtilitiesPropertyPlantAndEquipmentOtherPropertyPlantAndEquipment,2073,0,97,130,139,144,136,45
1783,NumberOfReportableSegments,2073,0,0,69,143,157,178,144
1784,CasinoRevenue,2073,0,83,134,136,137,138,63
1785,AllowanceForDoubtfulOtherReceivablesCurrent,2073,0,43,101,139,172,172,64
1786,InventoryRawMaterialsAndPurchasedPartsNetOfReserves,2073,0,46,139,161,148,133,64
1787,InterestAndDividendIncomeSecuritiesTradingOrMeasuredAtFairValue,2070,0,92,122,130,138,141,67
1788,CapitalLeasesFutureMinimumPaymentsReceivableInThreeYears,2067,0,40,120,144,147,166,72
1789,DisposalGroupIncludingDiscontinuedOperationAccountsPayable,2067,1,61,144,201,140,108,34
1790,InterestExpenseSavingsDeposits,2067,0,73,144,147,129,132,64
1791,DueFromAffiliateNoncurrent,2067,0,39,84,139,169,170,88
1792,FinancialInstrumentsOwnedAtFairValue,2067,1,87,150,152,130,115,54
1793,InterestBearingDomesticDepositDemand,2064,0,39,110,154,162,165,58
1794,IncreaseDecreaseInPensionAndPostretirementObligations,2064,5,83,128,134,126,125,87
1795,CommonStockSharesSubscribedButUnissued,2058,0,41,114,152,169,149,61
1796,InterestExpenseOtherShortTermBorrowings,2058,0,77,118,147,146,136,62
1797,DeferredTaxAssetsInProcessResearchAndDevelopment,2055,0,36,127,141,164,187,30
1798,FederalHomeLoanBankAdvancesGeneralDebtObligationsDisclosuresAmountOfAvailableUnusedFunds,2055,0,7,114,159,163,181,61
1799,RepaymentsOfOtherLongTermDebt,2052,1,73,128,120,130,128,104
1800,DeferredTaxLiabilitiesDerivatives,2043,0,56,122,147,176,168,12
1801,InvestmentOwnedPercentOfNetAssets,2040,0,26,105,147,161,169,72
1802,DeferredTaxLiabilitiesMortgageServicingRights,2037,0,23,132,162,171,173,18
1803,RealEstateOwnedValuationAllowance,2037,0,19,114,151,157,167,71
1804,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves,2034,0,33,131,164,162,154,34
1805,WriteOffOfDeferredDebtIssuanceCost,2034,1,70,131,145,127,124,80
1806,FairValueAssumptionsRiskFreeInterestRate,2031,0,0,54,180,171,181,91
1807,InterestIncomeFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,2031,0,105,147,117,115,129,64
1808,InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesShortTerm,2031,0,80,121,117,145,142,72
1809,ConstructionPayableCurrent,2028,0,84,112,137,150,140,53
1810,AccountsPayableAndAccruedLiabilitiesNoncurrent,2025,0,54,111,124,154,162,70
1811,LossContingencyAccrualCarryingValueCurrent,2022,0,18,85,134,183,173,81
1812,FinancingInterestExpense,2022,0,66,123,139,141,135,70
1813,RelatedPartyTransactionAmountsOfTransaction,2016,0,24,116,175,168,130,59
1814,PensionExpense,2016,0,65,124,140,125,142,76
1815,AccruedSalariesCurrentAndNoncurrent,2013,0,33,123,154,145,156,60
1816,UnregulatedOperatingRevenue,2013,0,89,125,127,136,127,67
1817,AmortizationOfDeferredLoanOriginationFeesNet,2007,0,32,129,121,129,144,114
1818,DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,2007,0,44,96,128,165,156,80
1819,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,2007,0,363,298,8,0,0,0
1820,CapitalLeasesNetInvestmentInDirectFinancingLeasesDeferredIncome,2004,0,41,126,135,154,158,54
1821,AllowanceForDoubtfulAccountsReceivableNoncurrent,2004,0,78,129,138,129,127,67
1822,DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts,2001,0,27,142,154,150,170,24
1823,LitigationSettlementExpense,2001,0,56,104,121,149,150,87
1824,ProceedsFromWarrantExercises,1998,0,21,109,142,155,154,85
1825,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,1995,0,0,0,79,217,244,125
1826,AcquiredFiniteLivedIntangibleAssetAmount,1989,1,173,347,136,5,1,0
1827,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriodWeightedAverageGrantDateFairValue,1989,1,435,221,6,0,0,0
1828,OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostBeforeTax,1989,0,40,260,351,12,0,0
1829,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax,1989,3,333,327,0,0,0,0
1830,CommonStockIncludingAdditionalPaidInCapital,1983,3,207,309,140,2,0,0
1831,LoansReceivableHeldForSaleAmount,1983,0,29,63,61,102,256,150
1832,EnergyRelatedInventory,1983,0,87,117,148,128,121,60
1833,IncomeTaxesReceivableNoncurrent,1980,0,63,125,122,128,150,72
1834,HeldToMaturitySecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,1980,0,0,0,0,122,349,189
1835,GoodwillTranslationAndPurchaseAccountingAdjustments,1974,3,115,139,120,110,98,73
1836,OtherDeferredCostsNet,1968,0,70,126,126,130,143,61
1837,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromThreeToFourYearsOfBalanceSheetDate,1965,0,10,124,154,155,167,45
1838,DerivativeAssetFairValueNet,1965,0,85,306,255,9,0,0
1839,EnergyRelatedInventoryOtherFossilFuel,1962,0,89,115,132,126,121,71
1840,IntangibleAssetsCurrent,1962,0,55,83,126,152,177,61
1841,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,1959,0,16,104,155,130,159,89
1842,InterestBearingDomesticDepositCertificatesOfDeposits,1953,0,27,119,163,146,138,58
1843,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisWithUnobservableInputs,1953,0,0,0,58,186,255,152
1844,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansBeforeTax,1950,0,0,0,50,200,260,140
1845,ForeignCurrencyExchangeRateTranslation1,1950,0,1,91,191,169,145,53
1846,OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,1950,0,0,241,401,8,0,0
1847,FederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,1950,0,111,136,109,119,122,53
1848,PaymentsToAcquireOtherPropertyPlantAndEquipment,1950,0,61,119,127,118,125,100
1849,ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,1950,0,92,143,128,119,109,59
1850,FairValueAssumptionsExpectedVolatilityRate,1947,0,0,55,163,152,183,96
1851,DueToOfficersOrStockholdersCurrentAndNoncurrent,1947,0,30,125,160,158,125,51
1852,BelowMarketLeaseNet,1947,0,0,0,58,163,283,145
1853,UtilitiesOperatingExpenseFuelUsed,1947,0,97,122,132,120,112,66
1854,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,1947,0,0,0,2,87,378,182
1855,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,1947,0,0,46,109,131,215,148
1856,DerivativeLiabilityNotionalAmount,1944,0,30,93,136,149,154,86
1857,OilAndCondensateRevenue,1941,0,55,109,127,142,141,73
1858,InterestRateDerivativeAssetsAtFairValue,1938,1,76,98,147,150,121,53
1859,AssetManagementFees,1935,0,182,302,150,10,1,0
1860,ReceivablesLongTermContractsOrPrograms,1935,1,93,125,127,126,124,49
1861,DisposalGroupIncludingDiscontinuedOperationAccruedLiabilities,1935,0,39,134,204,141,100,27
1862,LongTermDebtPercentageBearingFixedInterestRate,1932,1,56,154,147,132,110,44
1863,RealEstateFederalIncomeTaxBasis,1932,0,38,126,136,166,177,1
1864,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,1929,0,28,138,167,157,132,21
1865,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,1929,0,31,100,142,123,149,98
1866,PromotionalAllowances,1926,0,79,122,126,130,127,58
1867,InterestBearingDomesticDepositSavings,1926,0,26,115,163,148,136,54
1868,FederalHomeLoanBankBorrowingsFairValueDisclosure,1926,0,7,104,155,156,155,65
1869,OtherThanTemporaryImpairmentCreditLossesRecognizedInEarningsReductionsCashFlows,1920,0,26,100,138,150,153,73
1870,OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxIncludingPortionAttributableToNoncontrollingInterestAvailableforsaleSecurities,1920,0,57,141,136,141,114,51
1871,AssetsHeldForSalePropertyPlantAndEquipment,1920,0,121,204,216,94,5,0
1872,ProceedsFromSaleOfMortgageLoansHeldForSale,1917,0,23,121,122,123,125,125
1873,CapitalLeasesFutureMinimumPaymentsReceivableInFourYears,1917,0,42,110,129,139,156,63
1874,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,1917,0,0,1,121,219,220,78
1875,VariableInterestEntityNonconsolidatedCarryingAmountAssets,1914,0,49,129,129,127,123,81
1876,LandImprovements,1911,0,55,119,133,135,141,54
1877,IncreaseDecreaseInOperatingLiabilities,1908,3,49,132,128,122,111,91
1878,RevenueFromLeasedAndOwnedHotels,1902,0,76,106,119,125,136,72
1879,OtherCommitmentDueInSecondYear,1902,0,0,101,143,156,169,65
1880,DefinedBenefitPlanAmountsRecognizedInBalanceSheet,1899,0,70,125,141,141,131,25
1881,IncreaseDecreaseInAccountsAndNotesReceivable,1899,1,80,117,113,117,115,90
1882,OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,1899,0,0,0,47,228,241,117
1883,PaymentsForProceedsFromProductiveAssets,1896,0,43,110,108,122,126,123
1884,PurchaseObligationDueInThirdYear,1893,0,0,72,118,171,187,83
1885,AdvanceRent,1893,0,27,122,129,130,151,72
1886,OtherHotelOperatingRevenue,1893,0,63,109,121,130,139,69
1887,FutureAmortizationExpenseYearTwo,1890,5,213,395,15,2,0,0
1888,RepaymentsOfFederalHomeLoanBankBorrowings,1890,0,31,154,125,118,103,99
1889,DeferredTaxAssetsTaxCreditCarryforwardsOther,1890,0,43,128,146,150,140,23
1890,StandardProductWarrantyAccrualCurrent,1884,0,41,110,131,135,141,70
1891,PensionAndOtherPostretirementBenefitContributions,1884,1,62,103,112,117,128,105
1892,FederalHomeLoanBankAdvancesGeneralDebtObligationsDisclosuresMaximumAmountAvailable,1881,0,5,102,144,150,169,57
1893,SecuritiesReceivedAsCollateral,1881,0,64,115,149,135,113,51
1894,PaymentsForProceedsFromInvestments,1881,1,58,112,116,126,123,91
1895,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,1881,0,49,122,143,149,147,17
1896,FairValueDisclosureOffbalanceSheetRisksAmountLiability,1878,0,11,97,136,150,159,73
1897,DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,1878,0,68,132,133,139,129,25
1898,FutureAmortizationExpenseYearThree,1878,5,212,392,15,2,0,0
1899,ProceedsFromDivestitureOfBusinesses,1878,0,44,105,114,146,135,82
1900,OperatingLeasesFutureMinimumPaymentsDueInRollingYearTwo,1875,0,0,101,167,166,135,56
1901,OtherAmortizationOfDeferredCharges,1872,0,68,116,125,127,121,67
1902,OtherInvestmentsAndSecuritiesAtCost,1872,0,72,132,128,116,123,53
1903,NotesAndLoansReceivableGrossNoncurrent,1869,0,83,141,131,101,105,62
1904,InterestRateDerivativesAtFairValueNet,1866,0,45,116,147,137,125,52
1905,OtherInventoryMaterialsSuppliesAndMerchandiseUnderConsignment,1866,0,26,122,152,140,129,53
1906,EquityMethodInvestmentRealizedGainLossOnDisposal,1863,1,55,125,115,124,134,67
1907,NotionalAmountOfInterestRateCashFlowHedgeDerivatives,1863,0,160,282,175,4,0,0
1908,RealEstateInvestmentsUnconsolidatedRealEstateAndOtherJointVentures,1860,0,66,133,118,129,116,58
1909,DeferredTaxAssetsCharitableContributionCarryforwards,1860,0,14,111,146,163,160,26
1910,CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesOutstandingBalance,1860,0,32,98,104,142,164,80
1911,FutureAmortizationExpenseYearFour,1857,5,209,388,15,2,0,0
1912,RestructuringCostsAndAssetImpairmentCharges,1857,1,38,94,103,129,151,103
1913,CasinoExpenses,1857,0,80,123,116,120,123,57
1914,ProceedsFromRepaymentsOfBankOverdrafts,1854,1,65,133,135,116,103,65
1915,RecognitionOfDeferredRevenue,1854,0,75,110,120,115,118,80
1916,DeferredTaxLiabilitiesDeferredExpense,1854,0,50,131,132,146,135,24
1917,StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,1851,1,45,101,148,117,124,81
1918,IncreaseDecreaseInTimeDeposits,1851,0,35,148,127,111,103,93
1919,DeferredGainOnSaleOfProperty,1851,0,64,111,120,136,121,65
1920,CapitalLeasesNetInvestmentInDirectFinancingLeasesUnguaranteedResidualValuesOfLeasedProperty,1848,0,31,103,134,139,143,66
1921,MortgageLoansOnRealEstateCarryingAmountOfMortgages,1845,0,29,110,136,136,156,48
1922,RedeemableNoncontrollingInterestEquityFairValue,1845,0,55,117,130,136,125,52
1923,RestructuringCosts,1842,0,27,64,96,132,171,124
1924,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,1839,0,17,32,130,192,172,70
1925,EquityMethodInvestmentSummarizedFinancialInformationEquityOrCapital,1839,0,63,131,141,120,120,38
1926,IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,1839,0,183,277,145,6,2,0
1927,IncreaseDecreaseInCustomerAdvances,1836,2,60,140,129,115,97,69
1928,RecordedUnconditionalPurchaseObligation,1833,1,72,140,128,123,111,36
1929,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,1833,0,0,81,126,158,160,86
1930,DerivativeLiabilityFairValueNet1,1830,0,0,293,304,13,0,0
1931,LoansPayableToBank,1830,0,48,134,143,121,109,55
1932,GainLossOnInvestmentsExcludingOtherThanTemporaryImpairments,1830,1,49,107,115,122,140,76
1933,DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentAssets,1824,1,35,98,138,146,146,44
1934,RelatedPartyCosts,1821,0,64,117,129,135,109,53
1935,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease,1818,2,280,322,2,0,0,0
1936,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,1818,0,215,196,97,83,15,0
1937,LiabilitiesFairValueDisclosureNonrecurring,1818,0,0,28,97,172,221,88
1938,OperatingLeasesFutureMinimumPaymentsNextRollingTwelveMonths,1818,0,0,98,165,155,135,53
1939,PaymentsToAcquireRealEstate,1815,0,32,95,105,127,134,112
1940,HeldToMaturitySecuritiesContinuousUnrealizedLossPositionAggregateLosses,1812,0,75,287,229,13,0,0
1941,InterestBearingDomesticDepositChecking,1812,0,26,102,136,140,140,60
1942,TradingSecuritiesDebt,1809,0,85,105,115,117,117,64
1943,AccumulatedOtherComprehensiveIncomeLossBeforeTax1,1809,0,1,3,72,240,201,86
1944,IncreaseDecreaseInDueToRelatedPartiesCurrent,1806,0,45,158,120,111,103,65
1945,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,1806,0,37,114,128,118,138,67
1946,DefinedContributionPlanEmployerDiscretionaryContributionAmount,1806,0,0,47,120,147,185,103
1947,OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxIncludingPortionAttributableToNoncontrollingInterest,1806,0,99,145,126,107,88,37
1948,DebtConversionConvertedInstrumentAmount1,1806,0,34,92,124,141,127,84
1949,DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,1806,0,37,100,148,144,147,26
1950,ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,1806,1,38,115,114,119,115,100
1951,StockIssuedDuringPeriodValueDividendReinvestmentPlan,1806,0,20,103,118,126,135,100
1952,RestrictedInvestmentsNoncurrent,1806,0,91,128,118,112,106,47
1953,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,1803,0,43,102,118,155,119,64
1954,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,1803,0,0,0,71,214,196,120
1955,OtherIndefiniteLivedIntangibleAssets,1800,1,69,93,132,135,115,55
1956,SaleLeasebackTransactionDeferredGainNet,1797,0,91,115,113,120,108,52
1957,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,1797,0,16,94,142,119,145,83
1958,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,1794,0,0,80,125,148,162,83
1959,HeldToMaturitySecuritiesPledgedAsCollateral,1788,0,33,103,131,130,135,64
1960,DistributedEarnings,1785,0,13,66,115,113,191,97
1961,InterestExpenseNOWAccountsMoneyMarketAccountsAndSavingsDeposits,1785,0,70,120,121,111,116,57
1962,SharesIssuedPricePerShare,1782,0,0,4,71,195,230,94
1963,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance,1782,0,50,115,138,137,137,17
1964,TransferToOtherRealEstate,1782,0,0,15,86,149,176,168
1965,HeldToMaturitySecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,1782,0,76,276,230,12,0,0
1966,SecuritiesSoldUnderAgreementsToRepurchaseGross,1776,0,0,0,61,176,235,120
1967,LoansReceivableCommercialMortgage,1776,0,48,111,130,125,128,50
1968,GeneralPartnersCapitalAccountUnitsIssued,1773,0,55,100,128,129,127,52
1969,OtherDeferredCreditsNoncurrent,1773,0,103,131,119,96,98,44
1970,LoansAndLeasesReceivableLoansInProcess,1770,0,12,108,146,143,128,53
1971,ServiceManagementCosts,1770,0,70,136,132,99,106,47
1972,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,1767,2,34,1,35,250,169,98
1973,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,1767,0,37,99,136,125,116,76
1974,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,1767,0,24,104,123,136,138,64
1975,ShortTermNonBankLoansAndNotesPayable,1764,0,78,127,128,111,102,42
1976,CostOfServicesDepreciation,1764,0,79,120,112,97,122,58
1977,SettlementLiabilitiesCurrent,1764,0,17,66,114,148,162,81
1978,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,1758,0,48,113,144,122,97,62
1979,InventoryCrudeOilProductsAndMerchandise,1758,0,28,84,139,141,141,53
1980,CapitalizedCostsOilAndGasProducingActivitiesGross,1758,0,45,125,128,137,125,26
1981,OtherAdditionalCapital,1755,1,91,117,129,117,94,36
1982,AdvancesToAffiliate,1755,0,35,100,109,142,129,70
1983,BusinessDevelopment,1752,0,72,108,113,118,116,57
1984,CapitalLeasesFutureMinimumPaymentsReceivableCurrent,1746,0,44,101,120,122,145,50
1985,CededPremiumsWritten,1746,0,52,89,101,138,138,64
1986,RegulatedAndUnregulatedOperatingRevenue,1743,1,80,111,111,109,114,55
1987,WeightedAverageNumberOfSharesEmployeeStockOwnershipPlanSharesNotCommittedToBeReleased,1743,0,3,76,147,140,151,64
1988,IncreaseDecreaseInUnbilledReceivables,1737,0,49,113,111,112,108,86
1989,DeferredCreditsAndOtherLiabilitiesNoncurrent,1737,0,35,75,104,135,153,77
1990,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,1737,0,0,0,109,190,224,56
1991,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,1737,0,0,17,83,133,164,182
1992,IncreaseDecreaseInOtherAccountsPayable,1737,0,46,135,122,109,99,68
1993,DisposalGroupIncludingDiscontinuedOperationOtherAssets,1734,0,35,108,132,134,126,43
1994,ImpairmentOfIntangibleAssetsExcludingGoodwill,1731,2,52,106,119,121,118,59
1995,InterestCostsCapitalizedAdjustment,1728,0,0,16,77,145,201,137
1996,GainLossOnSaleOfBusiness,1728,0,0,26,98,137,193,122
1997,AllowanceForCreditLossesChangeInMethodOfCalculatingImpairment,1728,0,0,93,119,131,150,83
1998,BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,1728,0,50,85,104,137,135,65
1999,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,1728,0,0,77,117,141,161,80
2000,FederalIncomeTaxExpenseBenefitContinuingOperations,1725,0,29,88,127,141,123,67
2001,PaymentsForProceedsFromShortTermInvestments,1725,0,63,99,104,114,100,95
2002,GoodwillPurchaseAccountingAdjustments,1722,0,12,57,99,125,132,149
2003,OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,1722,0,0,230,338,6,0,0
2004,DeferredCostsAndOtherAssets,1719,0,0,52,111,152,174,84
2005,InterestExpenseTimeDeposits100000OrMore,1719,0,77,135,128,120,81,32
2006,AdjustmentsToAdditionalPaidInCapitalOther,1719,0,35,104,119,118,123,74
2007,OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,1716,0,50,122,138,100,105,57
2008,DeferredCompensationArrangementWithIndividualRecordedLiability,1716,0,22,121,146,135,120,28
2009,FinancingReceivableModificationsPostModificationRecordedInvestment1,1713,0,0,352,204,14,1,0
